id,name,age,salary,department,join_date,is_active,remarks
1,Alice,40.0,46163.14,Marketing,2015-01-31,True,
2,David,31.0,39284.22,HR,2015-02-28,False,
3,Bob,24.0,42487.42,Tech,2015-03-31,True,
4,Alice,26.0,50834.68,HR,2015-04-30,True,
5,David,24.0,42665.57,Marketing,2015-05-31,True,
6,David,,44301.16,HR,2015-06-30,False,
7,David,,53896.02,HR,2015-07-31,False,
8,David,,24779.77,Finance,2015-08-31,True,
9,Bob,,36248.08,HR,2015-09-30,False,
10,David,,48211.64,Marketing,2015-10-31,True,
11,Bob,,43305.84,Tech,2015-11-30,False,
12,Charlie,55.0,17849.67,HR,2015-12-31,True,
13,Alice,43.0,50150.57,Marketing,2016-01-31,True,
14,David,35.0,41626.66,Finance,2016-02-29,False,
15,Charlie,33.0,57213.58,Tech,2016-03-31,True,
16,Alice,41.0,250000.0,Marketing,2016-04-30,True,
17,Alice,25.0,46212.99,HR,2016-05-31,True,
18,Alice,55.0,65597.7,Tech,2016-06-30,True,
19,Charlie,20.0,49647.81,Finance,2016-07-31,True,
20,Bob,51.0,51341.33,HR,2016-08-31,False,
21,Charlie,25.0,41085.09,HR,2016-09-30,False,
22,David,50.0,48414.55,HR,2016-10-31,False,
23,David,20.0,61141.94,Finance,2016-11-30,False,
24,Charlie,56.0,38675.28,Tech,2016-12-31,False,
25,Alice,54.0,47925.76,Marketing,2017-01-31,False,
26,Bob,49.0,18126.2,HR,2017-02-28,False,
27,Bob,23.0,34549.72,HR,2017-03-31,False,
28,Bob,54.0,42238.22,HR,2017-04-30,True,
29,Bob,33.0,47873.0,HR,2017-05-31,True,
30,Alice,59.0,30852.8,Tech,2017-06-30,True,
31,Bob,41.0,72222.7,Marketing,2017-07-31,True,
32,Alice,29.0,74889.15,Finance,2017-08-31,False,
33,David,20.0,50002.09,Finance,2017-09-30,False,
34,Alice,30.0,72587.58,Tech,2017-10-31,False,
35,David,43.0,51567.81,HR,2017-11-30,False,
36,Bob,22.0,46459.35,Tech,2017-12-31,True,
37,Charlie,54.0,62291.53,Tech,2018-01-31,False,
38,David,55.0,56042.85,Tech,2018-02-28,True,
39,David,50.0,28426.37,Marketing,2018-03-31,True,
40,Alice,23.0,54068.73,Marketing,2018-04-30,False,
41,Charlie,38.0,39640.95,Tech,2018-05-31,False,
42,David,55.0,39777.01,Tech,2018-06-30,False,
43,Alice,40.0,27316.54,Marketing,2018-07-31,True,
44,Bob,37.0,82953.37,Tech,2018-08-31,False,
45,David,47.0,65617.63,Marketing,2018-09-30,False,
46,Bob,34.0,49501.46,Marketing,2018-10-31,False,
47,David,21.0,50984.62,Finance,2018-11-30,True,
48,David,56.0,53986.79,Finance,2018-12-31,False,
49,Charlie,30.0,67277.63,Marketing,2019-01-31,False,
50,David,42.0,52070.64,Tech,2019-02-28,False,
51,Alice,31.0,47782.92,Tech,2019-03-31,False,
52,Bob,22.0,75257.41,Tech,2019-04-30,False,
53,Bob,36.0,64577.48,Finance,2019-05-31,True,
54,Bob,52.0,74115.11,HR,2019-06-30,True,
55,David,20.0,46143.08,Marketing,2019-07-31,False,
56,Alice,58.0,77147.27,HR,2019-08-31,True,
57,David,39.0,63385.23,HR,2019-09-30,True,
58,Charlie,33.0,48551.36,Tech,2019-10-31,True,
59,Alice,50.0,44342.64,HR,2019-11-30,False,
60,David,44.0,42420.53,Tech,2019-12-31,True,
61,David,22.0,29559.93,HR,2020-01-31,False,
62,Charlie,23.0,66996.91,Marketing,2020-02-29,True,
63,David,50.0,39489.65,Finance,2020-03-31,False,
64,Charlie,54.0,23474.78,Finance,2020-04-30,True,
65,David,33.0,55106.26,Tech,2020-05-31,False,
66,Alice,28.0,60938.63,HR,2020-06-30,False,
67,Charlie,39.0,33674.69,HR,2020-07-31,True,
68,Alice,51.0,6833.32,HR,2020-08-31,False,
69,Alice,28.0,40077.83,HR,2020-09-30,True,
70,Alice,46.0,60588.93,HR,2020-10-31,True,
71,Bob,22.0,44621.03,Marketing,2020-11-30,True,
72,Bob,23.0,60979.74,Finance,2020-12-31,False,
73,Charlie,34.0,49454.5,Tech,2021-01-31,True,
74,Alice,52.0,58833.71,HR,2021-02-28,False,
75,Alice,24.0,38305.48,Finance,2021-03-31,True,
76,Bob,23.0,57145.05,Marketing,2021-04-30,False,
77,David,31.0,62508.2,Marketing,2021-05-31,False,
78,Alice,42.0,69706.89,Marketing,2021-06-30,True,
79,Bob,33.0,40974.37,Marketing,2021-07-31,False,
80,Charlie,31.0,41792.54,HR,2021-08-31,False,
81,Charlie,36.0,59144.76,Finance,2021-09-30,True,
82,David,44.0,61383.98,Tech,2021-10-31,False,
83,Alice,49.0,32211.21,HR,2021-11-30,False,
84,Bob,41.0,63940.99,Marketing,2021-12-31,False,
85,Bob,45.0,58204.28,Marketing,2022-01-31,False,
86,David,36.0,36956.11,Marketing,2022-02-28,False,
87,Bob,39.0,68351.42,Marketing,2022-03-31,True,
88,Bob,53.0,48013.54,HR,2022-04-30,True,
89,David,52.0,42426.56,Finance,2022-05-31,False,
90,Charlie,56.0,43328.63,Tech,2022-06-30,False,
91,David,26.0,55657.04,Finance,2022-07-31,False,Excellent
92,David,41.0,40443.4,Finance,2022-08-31,False,Excellent
93,Charlie,51.0,48428.7,Tech,2022-09-30,True,Excellent
94,Charlie,33.0,47734.37,Marketing,2022-10-31,False,Excellent
95,David,27.0,62669.39,Marketing,2022-11-30,True,Excellent
96,Alice,44.0,63629.64,HR,2022-12-31,True,Excellent
97,Charlie,35.0,64736.32,HR,2023-01-31,False,Excellent
98,David,38.0,32285.74,Finance,2023-02-28,True,Excellent
99,Bob,35.0,51349.16,Tech,2023-03-31,False,Excellent
100,Alice,31.0,39406.33,Tech,2023-04-30,True,Excellent
